Piece Name,Category,"Colors ",Cost Price,Gender,Material Type,"Printing Type ",Profit,Quantity available,Quantity sold,S/N,Selling Price,Stock
OTG : HomeGrown ‘26 Nigeria Jersey,Polo,"Black, White","NGN 25,000.00",Unisex,"Interlock Polyester (220–250 GSM)                             ",Hybrid (3D Screen Print + Embroidery + Flock),,20,,1,"NGN 40,000.00",In Stock
OTG : Heaven’s League Polo,Polo,"Black, White","NGN 28,000.00",Unisex,Heavyweight Cotton Interlock(240–280 GSM),Hybrid (DTF + Embroidered Patch + Watermark Sublimation/Screen),,20,,2,"NGN 42,000.00",In Stock
OTG : CrossRoad’s Raglan,Tops,"Black, Blue, Brown, Green, Red","NGN 20,000.00",Unisex,200–240 GSM Heavyweight Combed Cotton ,Hybrid (Screen Print / DTF + Woven Label),,15,,3,"NGN 35,000.00",In Stock
OTG : Territory Long Sleeve,Tops,"Blue, Brown, Green, Pink, Purple, Red, Yellow","NGN 30,000.00",Unisex,Sublimated Interlock Polyester,Hybrid (Full Sublimation + 3D Screen/Flex + Embroidered Crest),,15,,4,"NGN 38,000.00",In Stock
"OTG : Fly Gyal Polo ",Tops,,,Women,,,,15,,5,,In Stock
OTG : WildSide Set,2 piece,,,Women,,,,15,,6,,In Stock
OTG : Members Only Jersey,Jeresy,,,Unisex,,,,25,,7,,In Stock
"OTG : Above Average Long Sleeve ",Tops,,,Unisex,,,,15,,8,,In Stock
OTG : Archive ‘26 camo Jorts,Jorts,,,Unisex,,,,15,,9,,In Stock
"OTG : Since ‘60 Long Sleeve ",Tops,,,Unisex,,,,10,,10,,In Stock
"OTG : Essential Trucker ",Accessories,,,Unisex,,,,25,,11,,In Stock
OTG : Cold Heart Leather Belt,Accessories,,,Unisex,,,,15,,12,,In Stock
"OTG : Core Belt ",Accessories,,,Unisex,,,,15,,13,,In Stock
OTG : Recon Cap,Accessories,,,Unisex,,,,10,,14,,In Stock
"OTG : Signature Socks ",Accessories,,,Unisex,,,,25,,15,,In Stock
OTG : Out This World Polo,Polo,,,Unisex,,,,15,,16,,In Stock
OTG : Divine Graffiti TankTop,Tops,,,Men,,,,25,,17,,In Stock
"OTG : Faith Sweat Pants  ",Bottoms,,,Unisex,,,,35,,18,,In Stock
OTG :  N2F2P Polo,Polo,,,Unisex,,,,25,,19,,In Stock
OTG : Paint Our Culture Polo,Polo,,,Unisex,,,,15,,20,,In Stock
"OTG : Crux Beanie ",Accessories,,,Unisex,,,,20,,21,,In Stock
"OTG : Velocity Track-Pants ",Bottoms,,,Unisex,,,,25,,22,,In Stock
OTG : Nations Polo,Polo,,,Unisex,,,,15,,23,,In Stock
OTG : Made Different Set,2 piece,"Black, Blue, Green, Pink, Red","NGN 47,000.00",Unisex,13 oz to 14 oz Heavyweight Cotton Denim,,,15,,24,"NGN 55,000.00",In Stock
OTG : Too Hot Crop Tee,Tops,,,Women,,,,20,,25,,In Stock
OTG : Unmasked Tee,Tops,,,Unisex,,,,20,,26,,In Stock
OTG : Heart Over Logic Tee,Tops,,,Unisex,,,,20,,27,,In Stock
"OTG: ",,,,,,,,,,28,,In Stock
OTG :,,,,,,,,,,29,,In Stock
